window ||| "save_video.py - action-recorder - Visual Studio Code"
window ||| "pynput \u00b7 PyPI and 9 more pages - Nathan Pham - Microsoft\u200b Edge"
window ||| "Getting Started with Pipenv"
window ||| "Mail"
window ||| "Inbox - Gmail \u200e- Mail"
window ||| "Settings"
window ||| "Settings"
window ||| "Windows Input Experience"
window ||| "Program Manager"
mouse_move ||| ["1972", "1503"]
mouse_move ||| ["1972", "1502"]
mouse_move ||| ["1968", "1493"]
mouse_move ||| ["1958", "1483"]
mouse_move ||| ["1936", "1466"]
mouse_move ||| ["1895", "1448"]
mouse_move ||| ["1862", "1431"]
mouse_move ||| ["1790", "1409"]
mouse_move ||| ["1728", "1387"]
mouse_move ||| ["1655", "1356"]
mouse_move ||| ["1609", "1333"]
mouse_move ||| ["1563", "1310"]
mouse_move ||| ["1518", "1288"]
mouse_move ||| ["1478", "1266"]
mouse_move ||| ["1445", "1252"]
mouse_move ||| ["1389", "1228"]
mouse_move ||| ["1340", "1211"]
mouse_move ||| ["1330", "1207"]
mouse_move ||| ["1281", "1189"]
mouse_move ||| ["1174", "1155"]
mouse_move ||| ["1095", "1127"]
mouse_move ||| ["975", "1083"]
mouse_move ||| ["896", "1055"]
mouse_move ||| ["776", "1015"]
mouse_move ||| ["662", "976"]
mouse_move ||| ["559", "937"]
mouse_move ||| ["457", "903"]
mouse_move ||| ["397", "886"]
mouse_move ||| ["312", "853"]
mouse_move ||| ["234", "830"]
mouse_move ||| ["199", "822"]
mouse_move ||| ["164", "814"]
mouse_move ||| ["137", "809"]
mouse_move ||| ["117", "809"]
mouse_move ||| ["99", "809"]
mouse_move ||| ["94", "809"]
mouse_move ||| ["90", "809"]
mouse_move ||| ["90", "810"]
mouse_move ||| ["91", "812"]
mouse_move ||| ["95", "815"]
mouse_move ||| ["98", "820"]
mouse_move ||| ["99", "821"]
mouse_move ||| ["105", "826"]
mouse_move ||| ["113", "831"]
mouse_move ||| ["121", "837"]
mouse_move ||| ["131", "846"]
mouse_move ||| ["144", "852"]
mouse_move ||| ["158", "863"]
mouse_move ||| ["168", "869"]
mouse_move ||| ["171", "871"]
mouse_move ||| ["180", "877"]
mouse_move ||| ["196", "883"]
mouse_move ||| ["212", "892"]
mouse_move ||| ["219", "896"]
mouse_move ||| ["233", "905"]
mouse_move ||| ["243", "911"]
mouse_move ||| ["251", "917"]
mouse_move ||| ["258", "920"]
mouse_move ||| ["271", "929"]
mouse_move ||| ["281", "933"]
mouse_move ||| ["297", "940"]
mouse_move ||| ["307", "944"]
mouse_move ||| ["314", "948"]
