window ||| "6fdec950-7e3d-46e1-b162-d68b54df2c60.txt - action-recorder - Visual Studio Code"
window ||| "Settings"
window ||| "Settings"
window ||| "pynput \u00b7 PyPI and 7 more pages - Nathan Pham - Microsoft\u200b Edge"
window ||| "Getting Started with Pipenv"
window ||| "Mail"
window ||| "Inbox - Gmail \u200e- Mail"
window ||| "Windows Input Experience"
window ||| "Program Manager"
mouse_move ||| ["1997", "1543"]
mouse_move ||| ["1997", "1539"]
mouse_move ||| ["1997", "1532"]
mouse_move ||| ["1997", "1518"]
mouse_move ||| ["1695", "974"]
mouse_move ||| ["1682", "967"]
mouse_move ||| ["1667", "961"]
mouse_move ||| ["1654", "954"]
mouse_move ||| ["1649", "953"]
mouse_move ||| ["1633", "946"]
mouse_move ||| ["1617", "942"]
mouse_move ||| ["1599", "940"]
mouse_move ||| ["1592", "938"]
mouse_move ||| ["1577", "934"]
mouse_move ||| ["1556", "931"]
mouse_move ||| ["1549", "930"]
mouse_move ||| ["1531", "927"]
mouse_move ||| ["1510", "923"]
mouse_move ||| ["1501", "921"]
mouse_move ||| ["1477", "916"]
mouse_move ||| ["1467", "914"]
mouse_move ||| ["1441", "907"]
mouse_move ||| ["1428", "905"]
mouse_move ||| ["1398", "897"]
mouse_move ||| ["1386", "895"]
mouse_move ||| ["1356", "888"]
mouse_move ||| ["1322", "877"]
mouse_move ||| ["1307", "875"]
mouse_move ||| ["1264", "867"]
mouse_move ||| ["1246", "864"]
mouse_move ||| ["1204", "856"]
mouse_move ||| ["1158", "847"]
mouse_move ||| ["1140", "844"]
mouse_move ||| ["1098", "839"]
mouse_move ||| ["1065", "834"]
mouse_move ||| ["1027", "831"]
mouse_move ||| ["997", "828"]
mouse_move ||| ["982", "826"]
mouse_move ||| ["956", "824"]
mouse_move ||| ["926", "821"]
mouse_move ||| ["900", "819"]
mouse_move ||| ["888", "819"]
mouse_move ||| ["862", "817"]
mouse_move ||| ["838", "817"]
mouse_move ||| ["829", "815"]
mouse_move ||| ["802", "815"]
mouse_move ||| ["779", "815"]
mouse_move ||| ["770", "815"]
mouse_move ||| ["746", "812"]
mouse_move ||| ["737", "812"]
mouse_move ||| ["717", "812"]
mouse_move ||| ["693", "812"]
mouse_move ||| ["684", "812"]
mouse_move ||| ["663", "814"]
mouse_move ||| ["654", "814"]
mouse_move ||| ["636", "816"]
mouse_move ||| ["627", "816"]
mouse_move ||| ["609", "818"]
mouse_move ||| ["600", "818"]
mouse_move ||| ["583", "818"]
mouse_move ||| ["574", "818"]
mouse_move ||| ["567", "818"]
mouse_move ||| ["546", "818"]
mouse_move ||| ["537", "818"]
mouse_move ||| ["514", "818"]
mouse_move ||| ["507", "818"]
mouse_move ||| ["489", "818"]
mouse_move ||| ["483", "818"]
mouse_move ||| ["467", "818"]
mouse_move ||| ["460", "818"]
mouse_move ||| ["442", "818"]
mouse_move ||| ["435", "818"]
mouse_move ||| ["419", "818"]
mouse_move ||| ["413", "818"]
mouse_move ||| ["397", "818"]
mouse_move ||| ["388", "818"]
mouse_move ||| ["370", "817"]
mouse_move ||| ["361", "817"]
mouse_move ||| ["354", "815"]
mouse_move ||| ["333", "811"]
mouse_move ||| ["326", "809"]
mouse_move ||| ["308", "802"]
mouse_move ||| ["300", "798"]
mouse_move ||| ["282", "791"]
mouse_move ||| ["277", "788"]
mouse_move ||| ["263", "780"]
mouse_move ||| ["258", "777"]
mouse_move ||| ["251", "771"]
mouse_move ||| ["247", "768"]
mouse_move ||| ["242", "763"]
mouse_move ||| ["239", "762"]
mouse_move ||| ["236", "758"]
mouse_move ||| ["235", "757"]
mouse_move ||| ["234", "756"]
mouse_move ||| ["233", "755"]
mouse_move ||| ["231", "753"]
mouse_move ||| ["230", "751"]
mouse_move ||| ["229", "751"]
mouse_move ||| ["229", "749"]
mouse_move ||| ["229", "748"]
mouse_move ||| ["229", "746"]
mouse_move ||| ["229", "743"]
mouse_move ||| ["229", "740"]
mouse_move ||| ["229", "737"]
mouse_move ||| ["229", "736"]
mouse_move ||| ["231", "733"]
mouse_move ||| ["231", "732"]
mouse_move ||| ["232", "729"]
mouse_move ||| ["233", "726"]
